"Désignation éprouvette"	"S25D2"
"Temps"	"Force standard"	"Course standard"
"s"	"N"	"mm"
59,9946	46,2671	0,288268
60,0946	46,3252	0,288765
60,1946	46,4436	0,289265
60,2946	46,5118	0,289778
60,3946	46,6057	0,290266
60,4946	46,6784	0,290771
60,5946	46,7694	0,291268
60,6946	46,8352	0,291762
60,7946	46,9085	0,292276
60,8946	46,9656	0,292764
60,9946	47,0322	0,293266
61,0946	47,1105	0,293768
61,1946	47,1929	0,294262
61,2946	47,2656	0,294776
61,3946	47,3337	0,295267
61,4946	47,4143	0,295766
61,5946	47,489	0,296263
61,6946	47,5687	0,296763
61,7946	47,6666	0,297279
61,8946	47,7292	0,297767
61,9946	47,8065	0,298264
62,0946	47,8899	0,298769
62,1946	47,9933	0,29926
62,2946	48,0395	0,299771
62,3946	48,1154	0,30027
62,4946	48,19	0,300759
62,5946	48,2725	0,301267
62,6946	48,3592	0,301758
62,7946	48,4309	0,302271
62,8946	48,4958	0,302771
62,9946	48,5531	0,303259
63,0946	48,6501	0,303764
63,1946	48,7427	0,304252
63,2946	48,8099	0,304766
63,3946	48,9155	0,305271
63,4946	48,9641	0,305762
63,5946	49,0469	0,306267
63,6946	49,1049	0,306756
63,7946	49,1869	0,307263
63,8946	49,2298	0,307771
63,9946	49,3117	0,308262
64,0946	49,367	0,308768
64,1946	49,4416	0,309261
64,2946	49,5352	0,309761
64,3946	49,6052	0,310274
64,4946	49,6713	0,310763
64,5946	49,738	0,311271
64,6946	49,8107	0,311762
64,7946	49,8796	0,312261
64,8946	49,9925	0,312775
64,9946	50,0983	0,313269
65,0946	50,1839	0,313774
65,1946	50,2516	0,314268
65,2946	50,3262	0,314762
65,3946	50,4303	0,315272
65,4946	50,5239	0,315764
65,5946	50,5911	0,316269
65,6946	50,6981	0,316768
65,7946	50,7524	0,317259
65,8946	50,8246	0,317776
65,9946	50,8859	0,318267
66,0946	50,964	0,318766
66,1946	51,0325	0,319266
66,2946	51,0979	0,319762
66,3946	51,1624	0,320279
66,4946	51,2484	0,320767
66,5946	51,3452	0,321264
66,6946	51,4195	0,321766
66,7946	51,5064	0,322257
66,8946	51,5718	0,322773
66,9946	51,6606	0,323264
67,0946	51,7239	0,323761
67,1946	51,8262	0,324266
67,2946	51,9019	0,32476
67,3946	51,9663	0,325274
67,4946	52,0523	0,32577
67,5946	52,1383	0,326259
67,6946	52,2114	0,326764
67,7946	52,2908	0,327255
67,8946	52,3499	0,327763
67,9946	52,4507	0,328271
68,0946	52,5326	0,328762
68,1946	52,6046	0,329267
68,2946	52,7078	0,329758
68,3946	52,7643	0,330266
68,4946	52,8351	0,330774
